net,length_um
_0205_,395.72
net4,385.68
_0203_,380.85
_0206_,374.37
_0199_,354.03
net6,342.82
net8,326.13
_0198_,325.09
_0212_,323.56
clknet_0_w_clk,309.07
net29,299.02
net14,297.62
net9,277.7
net5,271.51
_0443_,269.34
_0210_,256.46
net10,252.63
net7,250.115
net11,240.91
_0335_,229.495
_0355_,229.23
_0374_,219.26
_0384_,215.06
net13,209.32
_0324_,208.67
_0364_,208.12
_0189_,206.96
_0433_,201.36
_0401_,200.22
_0312_,196.6
_0282_,193.48
_0292_,190.1
_0271_,172.4
net26,171.14
_0302_,170.1
net28,168.055
_0345_,165.86
net19,158.36
net27,157.6
w_clk,155
net1,146.96
net2,143.03
net16,138.88
clknet_4_15_0_w_clk,137.08
net18,136.72
net12,118.79
clknet_4_13_0_w_clk,115.22
net23,112
clknet_4_14_0_w_clk,107.7
clknet_4_7_0_w_clk,107.08
_0188_,106.73
clknet_4_11_0_w_clk,105.68
_0176_,102.065
_0393_,101
_0163_,100.575
clknet_4_1_0_w_clk,99.72
clknet_4_2_0_w_clk,99.26
_0268_,98.48
_0260_,89.88
clknet_4_8_0_w_clk,88.7
clknet_4_5_0_w_clk,86.18
net15,84.68
net20,83.9
net3,81.42
clknet_4_12_0_w_clk,80.4
net17,79.84
clknet_4_4_0_w_clk,76.68
_0243_,74.96
clknet_4_9_0_w_clk,74.6
clknet_4_3_0_w_clk,72.68
w_ptr_b\[1\],72
_0155_,71.62
_0252_,71.24
_0204_,65.24
_0265_,64.98
clknet_4_6_0_w_clk,64.375
w_ptr_b\[3\],63.7
clknet_4_10_0_w_clk,59.4
clknet_4_0_0_w_clk,57.04
net22,55.18
_0227_,54.1
_0184_,53.68
_0244_,52.2
_0222_,51.86
_0228_,50.84
w_ptr_b\[2\],48.885
_0259_,48.24
_0216_,46.62
_0418_,38.64
_0183_,36.02
r_ptr_b\[1\],35.58
_0156_,35.26
_0232_,34.5
r_ptr_b\[4\],33.31
w_ptr_g\[0\],33.16
_0202_,32.38
_0257_,31.02
r_ptr_g\[2\],30.2
w_ptr_b\[4\],29.86
_0181_,29
_0220_,28.66
_0238_,27.66
_0172_,27.585
w_ptr_g_sync2\[2\],27.16
r_ptr_b\[0\],26.88
w_ptr_g\[1\],26.66
_0171_,26.1
w_ptr_g\[3\],25.96
mem\[0\]\[0\],25.68
_0214_,24.64
r_ptr_b\[2\],24.54
mem\[12\]\[6\],24.48
mem\[9\]\[6\],24.34
mem\[0\]\[1\],24.28
mem\[0\]\[3\],24.14
_0200_,23.84
_0254_,23.7
mem\[1\]\[1\],23.46
mem\[12\]\[1\],23.22
mem\[13\]\[2\],23.02
_0182_,22.92
mem\[4\]\[5\],22.9
mem\[0\]\[4\],22.56
_0165_,22.54
_0236_,22.5
_0208_,22.42
mem\[6\]\[1\],22.305
_0185_,21.9
_0251_,21.9
mem\[15\]\[1\],21.42
mem\[0\]\[2\],21.4
mem\[1\]\[0\],21.28
mem\[15\]\[4\],21.18
_0173_,20.86
mem\[9\]\[0\],20.74
mem\[8\]\[6\],20.68
mem\[12\]\[3\],20.64
mem\[13\]\[7\],20.52
