net,length_um
net4,1133.05
net14,983.54
net12,963.925
net19,947.42
net6,871.88
net8,866.92
net9,864.58
net7,818.66
net18,811.2
net2,803.72
net16,796.18
net23,782.26
net11,725.76
net22,692.8
net5,687.24
net3,669.88
net13,660.6
net20,605.1
net10,600.68
w_clk,587.36
net17,532.18
net1,467.5
_0203_,444.255
net24,419.3
_0205_,398.76
_0212_,394.86
_0206_,394.5
net30,380.44
net21,356.94
_0210_,304.14
_0199_,298.15
clknet_0_w_clk,297.59
_0198_,289.86
_0292_,285.76
net29,282.1
_0302_,273.295
_0355_,256.34
_0433_,244.6
_0324_,240.7
_0443_,236.06
_0312_,230.835
_0271_,228.96
net27,199.65
net28,189.17
_0374_,186.6
_0384_,177.28
_0282_,170.94
_0345_,166.22
_0364_,160.06
_0189_,157.2
_0401_,154.5
_0335_,153.02
clknet_4_15_0_w_clk,131.62
clknet_4_10_0_w_clk,130.56
clknet_4_1_0_w_clk,121.68
_0393_,117.6
clknet_4_14_0_w_clk,117.46
clknet_4_11_0_w_clk,111.03
_0163_,107.93
_0176_,107.87
clknet_4_8_0_w_clk,107.16
clknet_4_13_0_w_clk,105.78
_0188_,102.69
clknet_4_2_0_w_clk,98.74
_0202_,91.22
clknet_4_12_0_w_clk,90.815
w_ptr_b\[1\],88.41
_0251_,87.52
_0244_,86.72
clknet_4_0_0_w_clk,85.92
_0155_,80.355
clknet_4_6_0_w_clk,77.18
clknet_4_7_0_w_clk,75.955
w_ptr_b\[2\],75.015
_0184_,73.6
r_ptr_b\[1\],71.88
net15,71.34
r_ptr_b\[0\],70.58
clknet_4_4_0_w_clk,69.62
_0228_,67.36
_0268_,65.18
clknet_4_5_0_w_clk,63.12
r_ptr_b\[4\],62.505
_0211_,59.66
_0216_,58.78
w_ptr_b\[3\],56.075
clknet_4_9_0_w_clk,56.06
_0224_,54.56
w_ptr_g\[0\],53.3
_0232_,53.24
_0262_,52.76
_0204_,52.04
clknet_4_3_0_w_clk,50.76
w_ptr_g\[3\],50.72
w_ptr_g\[1\],47.3
_0156_,47.1
_0247_,46.18
_0264_,45.08
_0238_,40.28
_0240_,39.62
_0259_,39.32
r_ptr_b\[2\],37.24
_0159_,36.08
_0260_,35.46
_0252_,34.38
_0158_,33.74
_0183_,32.08
r_ptr_g\[0\],31.62
_0222_,31.04
w_ptr_g\[2\],30.2
_0182_,30.04
_0164_,29.68
_0235_,29.58
r_ptr_g\[1\],28.98
w_ptr_b\[4\],28.98
_0248_,28.34
w_ptr_g_sync1\[4\],28.04
_0254_,27.92
w_ptr_b\[0\],27.6
