net,length_um
net4,1083.3
net8,953.62
net19,942.96
net14,912.02
net6,892.28
net2,888.78
net12,882.14
net9,854.71
net7,822.525
net16,798.66
net18,773.34
net13,767.1
net11,748.54
net3,731.04
net23,726.5
net5,684.08
net22,626.4
net10,620.44
w_clk,589.12
net20,575.7
net17,485.46
net1,467.5
net24,419.94
_0203_,395.525
_0212_,383.54
_0205_,370.34
_0206_,367.83
net21,353.34
_0199_,343.4
_0198_,341.94
_0210_,324.44
net30,311.6
clknet_0_w_clk,310.03
_0433_,266.375
_0364_,259.94
_0302_,255.27
_0189_,242.36
_0292_,235.34
net28,231.3
_0271_,226.12
_0335_,217.06
_0384_,213.56
_0443_,208.155
net29,200.46
_0401_,194.84
_0282_,191.83
_0374_,189.45
_0312_,184.11
_0355_,181.86
net27,176.22
_0345_,174.64
clknet_4_13_0_w_clk,170.6
_0324_,166.22
_0393_,155.44
r_ptr_b\[1\],136.51
clknet_4_8_0_w_clk,124.3
_0176_,121.75
clknet_4_10_0_w_clk,115.3
r_ptr_b\[0\],112.96
_0252_,111.28
clknet_4_15_0_w_clk,110.4
clknet_4_6_0_w_clk,105.84
_0155_,105.045
clknet_4_12_0_w_clk,104.34
_0260_,104.14
_0188_,98.92
clknet_4_2_0_w_clk,96.04
clknet_4_5_0_w_clk,92.5
_0202_,92.28
_0163_,91.9
_0228_,90.18
_0184_,89.12
clknet_4_11_0_w_clk,89.08
net15,88.6
clknet_4_7_0_w_clk,87.82
_0268_,87.6
_0227_,83.54
clknet_4_9_0_w_clk,81.535
clknet_4_1_0_w_clk,79.44
w_ptr_b\[1\],78.74
clknet_4_3_0_w_clk,78.62
w_ptr_b\[2\],70.375
_0259_,69.96
clknet_4_4_0_w_clk,69.82
_0244_,68.44
clknet_4_14_0_w_clk,68.06
clknet_4_0_0_w_clk,67.96
_0238_,63.4
_0267_,62.92
_0248_,60.44
_0220_,57.68
_0243_,56.14
w_ptr_b\[3\],53.1
_0232_,52.28
r_ptr_b\[4\],51.46
_0204_,51.4
_0211_,45.98
_0395_,45.36
_0216_,44.8
r_ptr_b\[2\],43.82
_0159_,43.52
_0418_,40.8
w_ptr_g\[2\],38.46
_0222_,36.96
_0265_,36.92
r_ptr_g\[2\],35.76
_0182_,34.92
_0161_,34
_0254_,33
_0249_,31.72
_0234_,31.42
_0171_,30.94
w_ptr_b\[4\],30.88
_0241_,30.62
_0172_,29.795
_0262_,29.74
_0156_,28.92
mem\[14\]\[0\],28.09
_0423_,27.4
mem\[6\]\[2\],27.23
r_ptr_g_sync2\[3\],26.56
mem\[15\]\[4\],25.8
mem\[6\]\[4\],24.15
_0162_,24.1
mem\[2\]\[6\],23.67
_0230_,23.66
_0185_,23.3
_0333_,23.26
mem\[11\]\[1\],22.86
_0321_,22.56
mem\[13\]\[3\],21.46
_0183_,21.38
_0181_,21.2
mem\[11\]\[5\],20.92
mem\[11\]\[4\],20.68
_0214_,20.56
mem\[15\]\[7\],20.16
mem\[13\]\[4\],20.12
mem\[13\]\[2\],20.04
_0427_,19.66
_0175_,19.24
_0410_,19.2
mem\[2\]\[2\],19.05
_0217_,18.48
mem\[6\]\[3\],18.405
r_ptr_g_sync2\[1\],18.38
_0158_,18.32
mem\[11\]\[0\],18.32
_0164_,18.31
mem\[1\]\[6\],18.14
mem\[12\]\[3\],17.98
mem\[6\]\[0\],17.95
_0225_,17.94
mem\[9\]\[5\],17.94
mem\[7\]\[2\],17.91
mem\[10\]\[3\],17.71
mem\[1\]\[0\],17.52
_0200_,17.48
_0257_,17.46
_0314_,17.46
mem\[10\]\[5\],17.345
r_ptr_g\[1\],17.245
_0208_,17.24
mem\[3\]\[4\],17.2
mem\[10\]\[2\],17.145
mem\[15\]\[6\],17.02
mem\[0\]\[6\],16.82
mem\[2\]\[5\],16.73
_0439_,16.7
mem\[12\]\[4\],16.64
_0409_,16.56
mem\[9\]\[2\],16.52
mem\[9\]\[4\],16.52
mem\[15\]\[2\],16.4
r_data[3],16.4
mem\[1\]\[1\],16.32
_0286_,16.3
mem\[1\]\[4\],16.28
mem\[0\]\[1\],16.14
mem\[4\]\[0\],16.14
_0247_,16.1
mem\[6\]\[5\],16.03
_0402_,15.7
mem\[6\]\[6\],15.65
r_rst_n,15.62
_0201_,15.52
_0280_,15.52
_0351_,15.48
_0288_,15.46
mem\[6\]\[1\],15.445
mem\[9\]\[7\],15.42
_0255_,15.38
mem\[6\]\[7\],15.33
mem\[14\]\[2\],15.305
_0326_,15.16
_0101_,15.125
mem\[10\]\[0\],15.125
mem\[15\]\[1\],15.1
mem\[10\]\[6\],15.07
mem\[13\]\[0\],15.02
mem\[4\]\[2\],14.98
mem\[14\]\[4\],14.885
mem\[7\]\[4\],14.88
mem\[14\]\[7\],14.87
_0392_,14.84
mem\[5\]\[1\],14.84
r_ptr_g\[0\],14.8
mem\[4\]\[6\],14.76
mem\[15\]\[5\],14.74
mem\[4\]\[4\],14.74
_0089_,14.665
mem\[4\]\[1\],14.64
mem\[7\]\[1\],14.64
_0165_,14.48
mem\[13\]\[7\],14.42
mem\[1\]\[5\],14.42
mem\[7\]\[7\],14.4
w_ptr_g\[1\],14.34
mem\[0\]\[0\],14.315
_0142_,14.245
mem\[9\]\[0\],14.22
_0173_,14.12
_0236_,13.96
_0378_,13.96
_0167_,13.94
r_clk,13.86
net26,13.82
mem\[13\]\[5\],13.8
mem\[0\]\[5\],13.74
mem\[5\]\[4\],13.68
mem\[2\]\[4\],13.63
_0246_,13.62
_0442_,13.54
mem\[11\]\[6\],13.48
mem\[12\]\[1\],13.4
_0346_,13.34
mem\[5\]\[3\],13.34
_0396_,13.32
mem\[12\]\[0\],13.32
mem\[0\]\[3\],13.28
_0186_,13.26
_0213_,13.12
mem\[0\]\[2\],13.12
mem\[2\]\[0\],12.925
mem\[8\]\[6\],12.88
mem\[8\]\[3\],12.84
_0005_,12.825
_0449_,12.7
_0451_,12.7
_0166_,12.66
_0377_,12.66
_0177_,12.62
mem\[7\]\[5\],12.46
mem\[1\]\[3\],12.38
_0027_,12.365
mem\[12\]\[5\],12.36
mem\[14\]\[1\],12.35
mem\[14\]\[6\],12.35
_0315_,12.24
r_ptr_g_sync2\[2\],12.2
_0291_,12.08
w_ptr_g\[0\],12.08
mem\[4\]\[3\],12
mem\[15\]\[3\],11.96
mem\[10\]\[7\],11.87
empty,11.8
_0445_,11.74
_0309_,11.72
_0053_,11.705
w_ptr_g\[3\],11.66
mem\[15\]\[0\],11.64
_0447_,11.62
mem\[10\]\[1\],11.59
